Name,Site,Rank,Count,Max,Mean,Min,App%,MPI%
Barrier,6,0,1,0.0376,0.0376,0.0376,0.00,0.00
Barrier,6,1,1,10.7,10.7,10.7,0.16,0.37
Barrier,6,2,1,9.53,9.53,9.53,0.15,0.42
Barrier,6,3,1,6.06,6.06,6.06,0.09,0.21
Barrier,6,4,1,9.79,9.79,9.79,0.15,0.44
Barrier,6,5,1,25.5,25.5,25.5,0.39,0.88
Barrier,6,6,1,13.4,13.4,13.4,0.20,0.54
Barrier,6,7,1,52.6,52.6,52.6,0.80,0.90
Barrier,10,0,1,0.0413,0.0413,0.0413,0.00,0.00
Barrier,10,1,1,687,687,687,10.45,23.67
Barrier,10,2,1,36.3,36.3,36.3,0.55,1.58
Barrier,10,3,1,701,701,701,10.67,23.94
Barrier,10,4,1,16.9,16.9,16.9,0.26,0.75
Barrier,10,5,1,678,678,678,10.32,23.34
Barrier,10,6,1,187,187,187,2.85,7.55
Barrier,12,7,1,3.6e+03,3.6e+03,3.6e+03,54.80,61.48
File_close,1,0,1,0.471,0.471,0.471,0.01,0.02
File_close,1,1,1,81.7,81.7,81.7,1.24,2.82
File_close,1,2,1,74.4,74.4,74.4,1.13,3.25
File_close,1,3,1,68.7,68.7,68.7,1.05,2.35
File_close,1,4,1,78.4,78.4,78.4,1.19,3.49
File_close,1,5,1,33.6,33.6,33.6,0.51,1.16
File_close,1,6,1,69.7,69.7,69.7,1.06,2.81
File_close,9,0,1,25.7,25.7,25.7,0.39,1.15
File_close,9,1,1,1.56,1.56,1.56,0.02,0.05
File_close,9,2,1,41.2,41.2,41.2,0.63,1.80
File_close,9,3,1,85.1,85.1,85.1,1.29,2.91
File_close,9,4,1,0.0677,0.0677,0.0677,0.00,0.00
File_close,9,5,1,1.68,1.68,1.68,0.03,0.06
File_close,9,6,1,309,309,309,4.70,12.46
File_close,9,7,1,1.06e+03,1.06e+03,1.06e+03,16.19,18.16
File_close,14,7,1,535,535,535,8.15,9.14
File_open,3,0,1,2.37,2.37,2.37,0.04,0.11
File_open,3,1,1,2.37,2.37,2.37,0.04,0.08
File_open,3,2,1,2.37,2.37,2.37,0.04,0.10
File_open,3,3,1,2.37,2.37,2.37,0.04,0.08
File_open,3,4,1,2.37,2.37,2.37,0.04,0.11
