Call,Site,Time,App%,MPI%,Count,COV
Barrier,13,1.27e+04,9.16,39.87,1,0.00
File_write_at,8,4.22e+03,3.05,13.29,7,0.20
File_read_at,7,2.91e+03,2.10,9.15,7,0.09
Sendrecv_replace,12,2.24e+03,1.62,7.04,24,0.47
Barrier,4,1.98e+03,1.43,6.23,7,2.19
File_open,5,1.67e+03,1.21,5.25,8,0.07
File_close,3,1.25e+03,0.91,3.95,8,1.54
Sendrecv_replace,9,1.24e+03,0.89,3.89,24,0.53
Sendrecv_replace,2,1.18e+03,0.85,3.70,24,0.52
Sendrecv_replace,14,1.17e+03,0.85,3.69,24,0.52
File_close,6,506,0.37,1.59,7,0.57
File_close,11,463,0.34,1.46,1,0.00
Barrier,1,255,0.18,0.80,8,1.87
File_open,10,26.5,0.02,0.08,8,0.00
